Species,Gene,AM,AF,LM,LF
Bmer,OR60,277.8086304,222.3765326,2.002436709,2.353564734
Bmer,OR34,717.0147645,767.3156301,0.879839841,0.953133009
Bmer,OR30,400.1561985,395.7170979,0.879839841,0.953133009
Bmer,OR17,535.9247514,547.62252,0.879839841,0.953133009
Bmer,OR21,453.8599308,505.0541298,0.879839841,0.953133009
Bmer,OR12,464.6267262,365.4715893,0.879839841,0.953133009
Bmer,OR37,1.757412015,2.276551227,0.879839841,0.953133009
Bmer,OR6,304.5218088,266.5487594,0.879839841,0.953133009
Bmer,OR27,800.3300481,688.7281041,105.9774473,73.64291361
Bmer,OR22,831.9988188,704.8561011,105.9774473,73.64291361
Bmer,OR9,369.358131,327.6000552,105.9774473,73.64291361
Bmer,OR23,222.3436784,252.124841,105.9774473,73.64291361
Bmer,OR39,228.6477245,271.4237204,105.9774473,73.64291361
Bmer,OR24,251.7932148,222.4885515,105.9774473,73.64291361
Bmer,OR19,208.4101923,156.5217884,105.9774473,73.64291361
Bmer,OR10,194.8003724,170.4218909,105.9774473,73.64291361
Bmer,OR14,244.2112825,248.2389234,105.9774473,73.64291361
Bmer,OR13,139.7534797,93.07383966,105.9774473,73.64291361
Bmer,OR56,30.04102263,29.14556048,105.9774473,73.64291361
Bmer,OR4,244.785211,294.8755637,225.9486385,180.0543024
Bmer,OR2,381.6926094,484.9293036,5.616179121,4.921085877
Bmer,OR38,337.436721,317.9863152,5.616179121,4.921085877
Bmer,OR8,124.4328886,85.23446199,5.616179121,4.921085877
Bmer,OR53,12.88144701,10.15168497,5.616179121,4.921085877
Bmer,OR31,70.97595144,91.00185141,5.616179121,4.921085877
Bmer,OR46,18.28435485,19.45635572,5.616179121,4.921085877
Bmer,OR59,2.218646517,3.060565758,5.616179121,4.921085877
Bmer,OR29,89.83113297,122.2452527,5.616179121,4.921085877
Bmer,OR43,129.9285914,133.721419,5.616179121,4.921085877
Bmer,OR41,55.21419309,65.2066758,5.616179121,4.921085877
Bmer,OR42,87.74050734,56.54869866,5.616179121,4.921085877
Bmer,OR55,62.46848616,56.18152329,0.448700061,0.467786364
Bmer,OR48,19.31182992,37.6932786,0.523380516,0.499000656
Bmer,OR28,34.39961313,32.56061067,0.825589101,0.962097612
Bmer,OR54,2.319834312,2.87761407,2.795920422,2.315985441
Bmer,OR49,11.30773019,10.2790184,0.615855123,0.582572355
Bmer,OR40,4.6811532,10.51593249,0.615855123,0.582572355
Bmer,OR51,4.6811532,10.51593249,2.7216225,2.953675014
Bmor,OR20,26.18482432,22.84977406,2.7216225,2.953675014
Bmor,OR52,1.642886772,1.230313059,2.7216225,2.953675014
Bmor,OR57,0.879298815,0.816316203,1.935274368,1.897174692
Bmor,OR58,7.793784813,5.134068063,1.935274368,1.897174692
Bmor,OR50,0.444411048,0.463100925,1.935274368,1.897174692
Bmor,SNMP1,28983.38329,31615.94913,356.1093576,255.4014447
Bmor,SNMP3,7284.887016,7235.051775,18.76610441,13.85188731
Bmor,SNMP2,254.5771426,304.6548021,141.2721497,130.1674525
